Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	p_th	sigma2	t_half	theta
1310	-18.06924	-16.03323	-2.036006	0.07339575	0	1	0.7715067	0.2853615	9.443969	9.967459
1320	-18.79506	-16.99643	-1.798632	0.06515962	0	1	0.7447922	0.2680446	10.63768	9.385347
1330	-22.78197	-20.35358	-2.428386	0.08272924	0	1	0.7961285	0.3465686	8.378503	8.350949
1340	-17.72649	-15.50815	-2.218342	0.07919271	0	1	0.7874061	0.3028026	8.752664	9.390402
1350	-20.47443	-17.26314	-3.211294	0.1105876	0	1	0.8465334	0.4198232	6.267854	9.134995
1360	-20.69547	-19.03776	-1.657713	0.0631586	0	1	0.7374339	0.2429111	10.97471	9.283004
1370	-26.66328	-22.00065	-4.662638	0.1555951	0	1	0.8907735	0.6896071	4.454815	9.242447
1380	-17.97648	-15.61541	-2.361071	0.08522791	0	1	0.8018958	0.3072753	8.132866	9.196389
1390	-18.159	-15.92134	-2.237658	0.08339853	0	1	0.7977041	0.2823508	8.311264	9.517844
1400	-18.98717	-16.06571	-2.921466	0.1084852	0	1	0.84359	0.3285271	6.389325	8.953548
1410	-18.3717	-16.14026	-2.231439	0.07367651	0	1	0.772327	0.3448922	9.407981	9.821936
1420	-19.61338	-16.67495	-2.938427	0.1031503	0	1	0.8356033	0.3741988	6.719777	9.200774
1430	-18.75962	-16.46393	-2.295694	0.0759312	0	1	0.7787231	0.3505989	9.128621	9.860076
1440	-17.92719	-15.63275	-2.294442	0.08202667	0	1	0.7944496	0.3076754	8.450266	9.455602
1450	-18.09552	-15.96886	-2.126654	0.08300931	0	1	0.7967906	0.2547813	8.350234	9.291498
1460	-17.69249	-15.66979	-2.022702	0.07030206	0	1	0.7620948	0.3006963	9.859556	9.97944
1470	-20.32558	-17.90168	-2.423894	0.0882881	0	1	0.8085516	0.3066263	7.85097	9.761571
1480	-17.88091	-16.10358	-1.777327	0.06259701	0	1	0.7353003	0.2770579	11.07317	9.66567
1490	-17.67562	-15.6046	-2.071013	0.07822555	0	1	0.7848982	0.2667402	8.860879	9.52037
1500	-18.7147	-16.48341	-2.23129	0.08919216	0	1	0.8104374	0.2481024	7.771391	9.156062
1510	-19.55793	-17.5849	-1.973037	0.08310859	0	1	0.7970244	0.2180406	8.340259	9.236242
1520	-20.0408	-16.48616	-3.554638	0.1294688	0	1	0.8687827	0.3964383	5.353777	8.595643
1530	-19.92583	-17.70885	-2.216983	0.08707555	0	1	0.8059657	0.2558137	7.960297	9.618785
1540	-18.31674	-16.20718	-2.109562	0.08290117	0	1	0.7965355	0.2510389	8.361127	9.447942
