Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
133	1	-19.08868	-16.82885	-2.259837	0.1069729	0.8414038	0.3501032	6.479651	8.5392
134	0	-17.09812	-15.66693	-1.431192	0.07256626	0.7690509	0.3172506	9.551922	9.786803
135	1	-18.52788	-17.27965	-1.248232	0.06466698	0.7430152	0.3124218	10.71872	9.31477
136	0	-17.37199	-15.84208	-1.529904	0.07527551	0.7768976	0.3306015	9.208137	9.403296
137	1	-20.72165	-19.4888	-1.232857	0.0799993	0.7894563	0.2222111	8.664416	9.879907
138	0	-19.37141	-17.52871	-1.842699	0.08089109	0.7916804	0.4012344	8.568894	8.934204
139	1	-19.062	-17.75727	-1.304734	0.05963091	0.7235007	0.3678668	11.62396	9.609151
140	0	-18.55176	-16.13894	-2.41282	0.1154044	0.8528844	0.3411411	6.006247	8.857375
141	1	-17.3919	-16.28237	-1.109527	0.06082437	0.7283586	0.2950629	11.39588	9.715656
142	0	-17.6403	-15.8858	-1.754499	0.08485046	0.8010444	0.3377576	8.169044	9.146495
143	1	-16.94612	-15.50018	-1.445943	0.07630321	0.7797466	0.2974198	9.084115	9.417329
144	0	-16.91101	-15.5235	-1.387515	0.07144474	0.7656526	0.3110062	9.701864	9.724689
145	1	-19.73934	-17.02022	-2.719118	0.126091	0.8652822	0.3693791	5.497196	8.989507
146	0	-17.58572	-15.82318	-1.762534	0.08512539	0.8016652	0.3385019	8.142661	9.284601
147	1	-19.88219	-17.64733	-2.23486	0.1028259	0.8350919	0.3728784	6.740981	9.416339
148	0	-17.73329	-15.8311	-1.902191	0.09177197	0.815629	0.338034	7.552929	9.092873
149	1	-17.24119	-16.07188	-1.169306	0.07202525	0.7674229	0.2469746	9.623669	9.427283
150	0	-22.49225	-19.64972	-2.842523	0.1397742	0.87843	0.3125838	4.95905	9.044334
151	1	-19.14712	-17.02399	-2.123131	0.09428579	0.8204327	0.3997114	7.351555	8.766258
152	0	-19.48049	-16.5311	-2.949382	0.1340692	0.8732705	0.3926003	5.170071	8.541031
153	1	-17.98801	-16.4066	-1.581413	0.08453895	0.8003365	0.2859603	8.199146	8.938934
154	0	-16.86671	-15.59992	-1.266785	0.07487365	0.7757649	0.2562931	9.257558	9.535323
155	1	-18.10672	-16.72244	-1.384281	0.08296366	0.796683	0.2427783	8.354829	9.523416
