Iteration	Posterior	Likelihood	Prior	sigma2
1810	-13.82707	-15.34769	1.520611	0.05464456
1820	-13.51728	-15.84524	2.327956	0.02437371
1830	-12.96235	-14.98939	2.027038	0.03293128
1840	-14.33367	-15.71954	1.385871	0.06252644
1850	-13.25201	-15.49218	2.240177	0.02660991
1860	-13.07652	-14.90433	1.827808	0.04019141
1870	-13.27005	-14.98933	1.719286	0.04479853
1880	-12.9621	-14.98829	2.026192	0.03295914
1890	-13.16589	-14.93764	1.771749	0.04250884
1900	-13.23364	-14.97019	1.736552	0.04403167
1910	-13.27586	-14.99247	1.716618	0.0449182
1920	-13.06465	-14.90124	1.836595	0.03983978
1930	-13.66667	-15.2365	1.569836	0.05201984
1940	-13.82127	-15.34359	1.522321	0.05455122
1950	-12.96329	-14.99337	2.030086	0.03283105
1960	-12.97236	-14.90948	1.937123	0.03602951
1970	-14.20105	-15.61989	1.418834	0.06049901
1980	-13.01863	-15.12771	2.109074	0.03033756
1990	-13.22914	-14.9679	1.738756	0.04393472
2000	-12.96278	-14.92365	1.960864	0.03518418
2010	-13.0741	-14.90366	1.829565	0.04012084
2020	-13.65952	-16.02495	2.365429	0.02347725
2030	-14.76072	-16.04815	1.287432	0.06899462
2040	-13.03257	-15.15376	2.121192	0.02997217
2050	-15.44809	-16.59418	1.146087	0.07946956
2060	-14.58503	-15.91171	1.326687	0.06633871
2070	-15.2814	-16.46027	1.17887	0.07690657
2080	-13.73088	-15.2805	1.549612	0.05308258
2090	-13.67732	-15.24375	1.566428	0.05219739
2100	-14.86446	-17.44668	2.582223	0.01890144
2110	-15.31058	-17.95095	2.640365	0.01783381
2120	-13.03153	-14.89546	1.863929	0.03876557
2130	-14.39136	-15.76329	1.371933	0.06340403
2140	-13.00801	-15.10685	2.098837	0.03064972
2150	-13.89283	-15.39439	1.501563	0.05569541
2160	-13.45359	-15.09705	1.643456	0.04832772
2170	-12.97002	-15.01689	2.046871	0.03228459
2180	-13.02434	-15.13854	2.114197	0.03018255
2190	-13.03672	-15.16128	2.124564	0.02987127
2200	-12.98187	-14.90245	1.920587	0.03663025
2210	-13.25784	-14.98281	1.724968	0.04454471
2220	-13.00334	-14.89571	1.892366	0.03767871
2230	-15.32252	-16.49322	1.170705	0.07753702
2240	-14.65582	-15.9665	1.310682	0.06740906
2250	-13.46353	-15.77595	2.312423	0.02475526
2260	-14.74123	-16.03294	1.291711	0.06870002
2270	-13.01071	-15.11225	2.101536	0.03056713
2280	-13.46135	-15.10191	1.640555	0.0484681
2290	-13.04124	-14.89664	1.855398	0.03909766
2300	-14.53849	-15.87584	1.337358	0.06563462
2310	-14.03079	-15.49412	1.463327	0.05786625
2320	-14.87997	-17.46435	2.584375	0.01886081
2330	-13.01185	-15.11451	2.102655	0.03053293
2340	-15.01922	-16.25146	1.232245	0.07290932
2350	-13.92347	-15.41635	1.492878	0.05618124
2360	-13.11849	-14.91815	1.799653	0.04133907
2370	-13.45787	-15.09973	1.641853	0.04840524
2380	-14.12133	-16.58503	2.463706	0.02127973
2390	-13.46122	-15.10182	1.640606	0.04846563
2400	-13.23338	-14.97006	1.736679	0.04402605
2410	-15.12762	-16.33751	1.209886	0.0745578
2420	-13.53217	-15.14712	1.614945	0.04972539
2430	-13.7981	-15.3273	1.529196	0.05417746
2440	-13.00623	-15.10324	2.097011	0.03070576
2450	-13.00122	-15.09291	2.09169	0.03086957
2460	-13.19681	-15.41369	2.21688	0.02723712
2470	-13.75418	-15.29664	1.542453	0.05346399
2480	-12.95887	-14.93717	1.978304	0.0345759
2490	-13.61611	-15.20243	1.586315	0.05116959
2500	-16.00231	-18.72083	2.718518	0.01649311
2510	-13.0961	-14.91027	1.814177	0.04074299
2520	-13.02371	-14.89491	1.8712	0.03848469
2530	-16.04197	-17.07714	1.035175	0.08879106
2540	-13.11473	-14.91676	1.802022	0.04124124
2550	-13.0965	-14.91041	1.813906	0.04075405
2560	-13.24116	-15.47696	2.235798	0.02672671
2570	-13.91594	-15.41094	1.495003	0.05606199
2580	-12.98824	-14.8995	1.911254	0.0369737
2590	-13.01212	-14.8949	1.882785	0.03804143
2600	-13.1454	-14.9288	1.783404	0.04201625
