Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	p_th	sigma2	t_half	theta
116	0	-17.47027	-15.504	-1.966267	0.07183804	0	1	0.7668547	0.2750829	9.648749	9.846666
117	1	-19.1233	-16.24978	-2.873524	0.1105649	0	1	0.8465021	0.2996293	6.269142	8.803688
118	0	-17.42201	-15.44629	-1.975721	0.07146095	0	1	0.7657023	0.2799268	9.699663	9.555066
119	1	-18.45141	-15.88821	-2.563205	0.08944714	0	1	0.8109629	0.3438984	7.749238	9.200042
120	0	-18.03618	-15.9856	-2.050585	0.0805022	0	1	0.790716	0.2490209	8.610288	9.384686
121	1	-19.81083	-17.9313	-1.879529	0.05493694	0	1	0.7028227	0.3610352	12.61714	9.832292
122	0	-19.89948	-16.64986	-3.249619	0.1170051	0	1	0.8548824	0.3806886	5.924078	8.540684
123	1	-17.51626	-15.54568	-1.970579	0.06995331	0	1	0.7609892	0.2875447	9.908712	9.552076
124	0	-18.22895	-15.98993	-2.239026	0.07557562	0	1	0.7777366	0.3337927	9.171571	9.323892
125	1	-21.12686	-19.60905	-1.517802	0.06792992	0	1	0.754386	0.1908595	10.20386	9.479683
126	0	-18.78342	-16.38659	-2.39682	0.09463189	0	1	0.8210753	0.2608488	7.324668	9.085465
127	1	-19.50873	-18.15582	-1.352908	0.05830811	0	1	0.7179344	0.1985057	11.88766	9.931711
128	0	-19.06866	-16.20342	-2.865231	0.0998547	0	1	0.8302618	0.3729797	6.941558	8.932465
129	1	-19.88241	-17.37942	-2.502993	0.0793102	0	1	0.7877071	0.4015127	8.739698	9.795809
130	0	-21.03706	-18.00204	-3.035018	0.1009356	0	1	0.8320503	0.4319778	6.867223	9.411934
131	1	-21.85159	-19.65339	-2.198198	0.07294561	0	1	0.77018	0.3388308	9.502247	8.647899
132	0	-17.4657	-15.50891	-1.956787	0.06909091	0	1	0.7582148	0.2888437	10.03239	9.603912
133	1	-18.08374	-15.67589	-2.407852	0.08584734	0	1	0.8032781	0.3177868	8.074183	9.170081
134	0	-20.13378	-17.76709	-2.36669	0.06999828	0	1	0.7611323	0.4268937	9.902345	9.637621
135	1	-18.05687	-16.06183	-1.995036	0.06823599	0	1	0.755406	0.3055998	10.15809	9.455139
136	0	-17.94499	-15.65969	-2.285297	0.08162878	0	1	0.7934873	0.3074593	8.491456	9.214365
137	1	-24.35117	-20.02006	-4.331105	0.1434981	0	1	0.8815786	0.6398835	4.830358	8.390259
138	0	-20.68732	-17.81783	-2.869488	0.1156416	0	1	0.8531839	0.2679455	5.993926	8.589293
139	1	-19.0021	-16.72484	-2.277267	0.0710053	0	1	0.7642959	0.3821231	9.761907	9.661552
140	0	-18.07243	-16.44175	-1.630677	0.06752059	0	1	0.7530098	0.2155297	10.26572	9.925408
141	1	-19.90934	-17.39929	-2.510049	0.08129521	0	1	0.7926739	0.3876773	8.526298	9.826204
142	0	-19.08322	-16.48928	-2.593946	0.102054	0	1	0.8338629	0.2713938	6.791967	8.990266
143	1	-19.00561	-16.20313	-2.802475	0.09692983	0	1	0.8252324	0.3727222	7.151021	9.009867
144	0	-17.58308	-15.49505	-2.088029	0.0723674	0	1	0.768455	0.3072314	9.578169	9.612667
145	1	-20.09564	-18.5591	-1.536533	0.05885418	0	1	0.7202559	0.2357697	11.77737	9.562156
146	0	-19.15498	-16.59654	-2.558442	0.09063147	0	1	0.8133678	0.3337696	7.647974	9.499977
147	1	-17.8159	-16.24179	-1.574115	0.05691454	0	1	0.7118539	0.2550848	12.17874	9.96341
148	0	-20.54978	-17.01166	-3.538111	0.1285626	0	1	0.8678614	0.397511	5.391514	8.950708
149	1	-20.61151	-17.50878	-3.102729	0.1052237	0	1	0.8387997	0.4220366	6.587367	9.258807
150	0	-21.80511	-18.87321	-2.931903	0.1000558	0	1	0.8305973	0.3969968	6.927607	9.645498
151	1	-19.09667	-17.03834	-2.058328	0.06334072	0	1	0.7381192	0.3612052	10.94315	9.606937
152	0	-18.33999	-16.45923	-1.88076	0.06914493	0	1	0.7583903	0.2673913	10.02456	9.340931
153	1	-20.2808	-18.406	-1.874802	0.05969517	0	1	0.7237662	0.3248225	11.61144	9.336214
154	0	-19.13625	-16.4217	-2.714557	0.09128215	0	1	0.8146643	0.3848136	7.593458	9.104774
155	1	-20.80408	-18.50594	-2.298136	0.07257832	0	1	0.769087	0.3773724	9.550334	8.861042
156	0	-17.7907	-15.73252	-2.058183	0.06997403	0	1	0.7610552	0.3137329	9.905777	9.549712
157	1	-17.25585	-15.32653	-1.929321	0.07034732	0	1	0.7622376	0.2736251	9.853214	9.715326
158	0	-19.67129	-16.40984	-3.261451	0.1253689	0	1	0.8645098	0.3225741	5.52886	8.688937
159	1	-18.25191	-16.24496	-2.006957	0.07442664	0	1	0.7744925	0.2711934	9.31316	9.22034
160	0	-17.25922	-15.35781	-1.901412	0.06542069	0	1	0.745725	0.2954186	10.59523	9.964353
161	1	-17.21506	-15.39418	-1.820883	0.06657135	0	1	0.749764	0.2659869	10.41209	9.756357
162	0	-17.23656	-15.46913	-1.767435	0.06754877	0	1	0.753105	0.2469678	10.26143	9.896814
163	1	-17.97865	-15.73973	-2.238914	0.08008739	0	1	0.789678	0.3032836	8.654886	9.198554
164	0	-17.79843	-15.52991	-2.26852	0.08212633	0	1	0.7946894	0.299169	8.440012	9.328484
165	1	-18.52848	-16.71826	-1.810216	0.07247182	0	1	0.7687682	0.2321938	9.564368	9.370133
166	0	-18.11068	-16.47874	-1.631941	0.05886493	0	1	0.7203013	0.259313	11.77521	9.791993
167	1	-20.00837	-16.74502	-3.263353	0.1136589	0	1	0.8506433	0.4143542	6.098487	8.675463
168	0	-17.63434	-15.75429	-1.880047	0.07097939	0	1	0.7642155	0.2569991	9.765471	9.936657
169	1	-19.37145	-16.49182	-2.87962	0.1118698	0	1	0.8482758	0.2932288	6.196018	8.909783
170	0	-18.80724	-16.4277	-2.379538	0.08943608	0	1	0.8109402	0.2862638	7.750196	8.863186
171	1	-17.38164	-15.4198	-1.961842	0.07041172	0	1	0.7624405	0.2822841	9.844202	9.603799
172	0	-20.45046	-16.53756	-3.912901	0.1480602	0	1	0.8852217	0.3823261	4.681522	8.583033
173	1	-20.20908	-16.82447	-3.384609	0.1183114	0	1	0.8564738	0.4237956	5.858667	8.867643
174	0	-19.55189	-17.19178	-2.360103	0.09639474	0	1	0.8242811	0.2422126	7.190716	9.023119
175	1	-19.29114	-17.70317	-1.587962	0.06921483	0	1	0.758617	0.1992244	10.01443	9.680461
176	0	-20.14273	-17.16891	-2.973816	0.1190804	0	1	0.8573946	0.2764807	5.820834	8.740078
177	1	-17.55785	-15.48562	-2.072231	0.07228695	0	1	0.7682131	0.3029325	9.588828	9.573628
178	0	-18.99585	-16.43016	-2.565685	0.1007008	0	1	0.831665	0.2715166	6.883232	9.017035
179	1	-23.74993	-21.67109	-2.078835	0.04969334	0	1	0.6763438	0.4925276	13.94849	9.810742
180	0	-20.52587	-17.13239	-3.393484	0.1229076	0	1	0.86181	0.3878409	5.63958	9.039544
181	1	-19.04008	-17.22533	-1.814754	0.05553837	0	1	0.7056209	0.3340991	12.48051	9.881614
182	0	-18.42494	-15.81765	-2.607291	0.0950486	0	1	0.8218432	0.3191205	7.292555	9.139324
183	1	-17.92857	-15.76799	-2.160583	0.07839617	0	1	0.7853447	0.2906805	8.841595	9.221885
184	0	-19.31116	-16.48512	-2.826039	0.1026833	0	1	0.8348663	0.337751	6.750339	8.649272
185	1	-19.53854	-16.76357	-2.774971	0.1029698	0	1	0.8353191	0.3189906	6.73156	8.60052
186	0	-20.24808	-17.11412	-3.133954	0.1060992	0	1	0.8401134	0.4274078	6.533009	8.687349
187	1	-21.82908	-18.72237	-3.106707	0.1176169	0	1	0.855632	0.3257361	5.893264	9.265362
188	0	-19.44587	-16.67665	-2.769225	0.09271186	0	1	0.8174536	0.3942909	7.476359	9.255108
189	1	-21.22392	-18.78735	-2.436572	0.06878922	0	1	0.7572303	0.4696902	10.07639	9.85105
190	0	-19.63175	-16.49407	-3.137679	0.1099712	0	1	0.8456817	0.3951634	6.302987	8.734242
191	1	-17.37581	-15.40192	-1.973893	0.06905919	0	1	0.7581116	0.2940251	10.037	9.891729
192	0	-18.26082	-15.73215	-2.528667	0.09271674	0	1	0.817463	0.3099551	7.475966	9.144162
193	1	-17.94711	-16.0539	-1.893201	0.07421931	0	1	0.7738978	0.2431008	9.339175	9.760911
194	0	-18.49969	-16.46404	-2.035649	0.06397935	0	1	0.7404974	0.3483528	10.83392	9.731104
195	1	-20.49729	-18.56452	-1.932768	0.07621682	0	1	0.7795096	0.2424161	9.094413	8.954386
196	0	-17.21203	-15.50774	-1.704293	0.06281101	0	1	0.736117	0.2563777	11.03544	9.872482
197	1	-21.60457	-17.01314	-4.591429	0.1751504	0	1	0.9029615	0.4240917	3.95744	8.389141
198	0	-20.92675	-17.00134	-3.925407	0.1527736	0	1	0.8887584	0.3502905	4.537088	8.690359
199	1	-21.6429	-18.62693	-3.015973	0.1057438	0	1	0.8395826	0.3827185	6.554968	9.508058
200	0	-19.64416	-16.58867	-3.055484	0.1186118	0	1	0.8568349	0.3030055	5.843829	8.652169
201	1	-19.84687	-17.26664	-2.580225	0.08107921	0	1	0.792144	0.4177709	8.549013	9.498857
202	0	-19.20135	-16.26014	-2.941216	0.1078347	0	1	0.8426569	0.3397372	6.427866	8.673602
203	1	-17.93289	-15.79809	-2.134803	0.07090755	0	1	0.7639922	0.3320725	9.775365	9.699166
204	0	-21.81693	-19.15263	-2.664296	0.1115786	0	1	0.8478834	0.23789	6.212189	8.647488
205	1	-17.32284	-15.48333	-1.839514	0.06424897	0	1	0.7414899	0.2846782	10.78846	9.807648
206	0	-18.83282	-16.26492	-2.567898	0.08642319	0	1	0.804547	0.368414	8.020384	9.120528
207	1	-17.52112	-15.50326	-2.01786	0.07348396	0	1	0.771765	0.2797059	9.432632	9.46753
208	0	-19.02778	-16.61812	-2.409661	0.07838791	0	1	0.7853231	0.3729626	8.842527	9.199213
209	1	-18.28946	-16.14762	-2.141842	0.06864106	0	1	0.7567442	0.3508951	10.09814	9.793059
210	0	-18.53196	-15.99209	-2.53987	0.08899116	0	1	0.8100212	0.3392329	7.788944	9.337791
211	1	-19.95228	-17.07138	-2.880907	0.1057656	0	1	0.8396153	0.3342105	6.553617	9.264651
212	0	-18.86805	-16.20636	-2.661691	0.09186144	0	1	0.8158042	0.3605392	7.545573	9.270623
213	1	-18.70607	-15.94751	-2.758557	0.0980618	0	1	0.8272126	0.3482413	7.068473	8.966271
214	0	-18.89187	-16.45059	-2.441284	0.08375323	0	1	0.7985298	0.3435213	8.276065	9.634955
215	1	-19.4579	-16.83986	-2.618042	0.1031535	0	1	0.8356083	0.271601	6.71957	9.092271
216	0	-17.14102	-15.28023	-1.860789	0.06535713	0	1	0.7454985	0.284041	10.60553	9.93378
217	1	-19.17472	-16.46142	-2.713303	0.09905771	0	1	0.8289193	0.3258729	6.997407	8.690251
218	0	-19.8434	-16.64415	-3.199251	0.1151468	0	1	0.8525579	0.376548	6.019682	8.547153
219	1	-18.70358	-16.54523	-2.158354	0.08681459	0	1	0.8054005	0.2425863	7.984224	9.237415
220	0	-18.20691	-15.96029	-2.246619	0.07539237	0	1	0.777225	0.337647	9.193863	9.715919
221	1	-19.15433	-16.53348	-2.620849	0.08648829	0	1	0.8046894	0.3879113	8.014347	9.231902
222	0	-18.14106	-16.21091	-1.930151	0.07491448	0	1	0.7758805	0.2485574	9.252513	9.816336
223	1	-22.14249	-18.61856	-3.523936	0.1157222	0	1	0.8532854	0.514667	5.98975	9.06986
224	0	-19.88351	-17.2033	-2.680202	0.09217242	0	1	0.8164106	0.3648597	7.520115	8.646947
225	1	-19.95555	-16.59332	-3.362226	0.130171	0	1	0.869488	0.3222113	5.324897	8.612848
226	0	-19.95881	-16.66671	-3.292096	0.1203311	0	1	0.8588678	0.3701392	5.760331	8.973749
227	1	-20.73088	-17.34578	-3.385098	0.1203347	0	1	0.858872	0.4061833	5.760158	8.388707
228	0	-20.26997	-17.78469	-2.485282	0.07462731	0	1	0.7750654	0.435676	9.288117	9.54497
229	1	-17.99365	-15.76515	-2.228493	0.08494427	0	1	0.8012566	0.2707469	8.160023	9.223112
230	0	-22.28852	-18.29072	-3.997801	0.1411127	0	1	0.8795807	0.482316	4.91201	8.221888
231	1	-18.67189	-15.92539	-2.746491	0.0983752	0	1	0.8277532	0.341784	7.045955	8.924785
232	0	-20.98296	-16.94608	-4.03688	0.1537351	0	1	0.8894534	0.3836887	4.508711	8.742448
233	1	-18.40182	-16.41514	-1.986677	0.06412548	0	1	0.7410362	0.3306772	10.80923	9.61454
234	0	-19.5804	-17.32558	-2.254822	0.06720095	0	1	0.7519254	0.4050565	10.31454	9.901103
235	1	-18.56339	-15.86248	-2.700908	0.1005608	0	1	0.8314343	0.3117548	6.892817	8.961521
236	0	-20.34768	-17.14566	-3.20202	0.1109783	0	1	0.8470684	0.4125137	6.245788	8.530823
237	1	-18.89753	-17.01656	-1.88097	0.0672499	0	1	0.752092	0.2784213	10.30704	9.281433
238	0	-21.12045	-19.38795	-1.7325	0.06915406	0	1	0.7584199	0.230502	10.02323	9.113509
239	1	-17.76564	-15.52749	-2.23815	0.07977561	0	1	0.7888915	0.3050636	8.688711	9.444651
240	0	-17.44194	-15.42524	-2.016698	0.07469297	0	1	0.7752522	0.2723049	9.279952	9.568237
241	1	-20.02782	-16.53098	-3.496839	0.129129	0	1	0.8684388	0.3768816	5.367864	8.830916
242	0	-22.46196	-19.77012	-2.691846	0.07690664	0	1	0.7813882	0.5103497	9.012839	9.052103
243	1	-18.58332	-16.69717	-1.886151	0.06798831	0	1	0.7545812	0.2755164	10.19509	9.317373
244	0	-18.35778	-16.84168	-1.516099	0.05916431	0	1	0.7215595	0.2294856	11.71563	9.832967
245	1	-19.16407	-17.76879	-1.395282	0.05590883	0	1	0.7073218	0.2179149	12.39781	9.932877
246	0	-22.34675	-18.92632	-3.42043	0.1104889	0	1	0.8463975	0.5185653	6.273458	9.183383
247	1	-17.45397	-15.57052	-1.883445	0.06556868	0	1	0.746251	0.2892484	10.57131	9.716116
248	0	-18.84169	-16.48465	-2.357035	0.07881043	0	1	0.7864214	0.3506843	8.79512	9.098461
249	1	-18.26703	-15.98829	-2.278741	0.07572769	0	1	0.7781594	0.3461969	9.153154	9.604093
250	0	-18.64645	-16.89731	-1.749136	0.05463531	0	1	0.7014019	0.3189335	12.6868	9.986168
251	1	-21.56858	-18.77495	-2.793633	0.09439398	0	1	0.820634	0.3898654	7.343129	8.36439
252	0	-18.88689	-16.51296	-2.373925	0.07968777	0	1	0.7886689	0.3500791	8.698288	9.060361
253	1	-17.51049	-15.46817	-2.04232	0.07354615	0	1	0.7719468	0.2862539	9.424657	9.486331
254	0	-18.77769	-17.11035	-1.667341	0.05673033	0	1	0.711033	0.2811058	12.21828	9.750847
255	1	-23.60575	-19.40785	-4.197902	0.1563709	0	1	0.8913149	0.4262055	4.432711	9.101422
256	0	-18.23591	-16.4745	-1.761415	0.05826343	0	1	0.717743	0.2989489	11.89678	9.813799
