Iteration	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
1050	-21.24624	-17.19107	-4.055177	0.1758511	0.903348	0.488811	3.941671	8.509154
1060	-18.42549	-17.5174	-0.9080869	0.06366859	0.7393451	0.227101	10.8868	9.541343
1070	-18.8828	-16.88944	-1.99336	0.08718876	0.80621	0.4081237	7.94996	9.218972
1080	-18.23299	-16.0363	-2.196689	0.1033517	0.8359191	0.354931	6.706685	8.969936
1090	-16.7395	-15.5552	-1.184296	0.07155139	0.7659797	0.2532384	9.687404	9.616228
1100	-18.33239	-16.28493	-2.047459	0.09625755	0.8240356	0.355395	7.200964	9.245634
1110	-19.46699	-17.92919	-1.5378	0.06463034	0.7428822	0.4176732	10.7248	9.678046
1120	-17.39477	-16.45341	-0.9413643	0.06660612	0.7498843	0.2205971	10.40666	9.706112
1130	-18.79751	-16.87786	-1.919649	0.1016531	0.8332176	0.2789203	6.818749	8.702311
1140	-16.92856	-15.97161	-0.9569521	0.05864104	0.7193538	0.2653221	11.82017	9.913325
1150	-18.76808	-16.69903	-2.069047	0.09755981	0.8263398	0.353253	7.104844	8.664981
1160	-19.61301	-18.01245	-1.600561	0.07756886	0.7831638	0.3379527	8.935895	8.768227
1170	-18.76605	-17.85931	-0.9067398	0.06582227	0.7471479	0.2166638	10.53059	9.492564
1180	-18.83981	-16.72154	-2.118265	0.09590004	0.8233927	0.3843764	7.227809	8.769715
1190	-17.61624	-16.33771	-1.27853	0.0621486	0.7335743	0.33971	11.15306	9.828522
1200	-18.82213	-16.22895	-2.593176	0.1198914	0.8583533	0.3714588	5.781458	8.760748
1210	-18.4701	-16.93369	-1.536409	0.06799632	0.754608	0.3883407	10.19389	9.899852
1220	-19.63907	-17.96309	-1.675981	0.06923156	0.7586712	0.434955	10.01201	9.707359
1230	-17.88902	-15.92053	-1.968481	0.1003512	0.8310879	0.3010825	6.907211	8.937088
1240	-18.92774	-16.52338	-2.404366	0.1148687	0.8522037	0.3421366	6.034257	8.561698
1250	-18.06743	-16.48766	-1.579772	0.07794507	0.7841606	0.3283674	8.892765	9.870367
1260	-18.20938	-16.34604	-1.863342	0.08576222	0.8030892	0.3693792	8.082197	9.084854
1270	-17.26112	-16.4141	-0.8470243	0.06286796	0.7363335	0.2173093	11.02544	9.872908
1280	-17.60792	-16.0916	-1.51632	0.08581332	0.8032027	0.2607906	8.077385	9.119779
1290	-19.75899	-17.77898	-1.980014	0.08517029	0.8017662	0.4203371	8.138368	8.832882
1300	-19.83872	-18.12738	-1.711339	0.07824186	0.784941	0.3721893	8.859033	8.761947
1310	-17.22192	-15.75085	-1.471069	0.07324193	0.7710549	0.3254574	9.463803	9.748953
1320	-20.85047	-18.79378	-2.056688	0.0849133	0.8011866	0.4563154	8.162999	9.817914
1330	-19.48264	-18.1418	-1.34084	0.08064676	0.7910755	0.2441717	8.594855	9.852152
1340	-18.3704	-16.85057	-1.519828	0.06783944	0.754083	0.3832282	10.21747	9.963743
1350	-19.58694	-17.72151	-1.865432	0.08281596	0.796334	0.3940326	8.369729	9.846995
1360	-17.29731	-15.89466	-1.40265	0.07995354	0.789341	0.2635893	8.669375	9.229451
1370	-16.745	-15.57276	-1.172239	0.07126806	0.7651088	0.2517122	9.725917	9.785906
1380	-16.77749	-15.73111	-1.046376	0.0590823	0.7212158	0.2874374	11.73189	9.978715
1390	-18.68372	-16.84568	-1.838045	0.09679048	0.8249856	0.2850052	7.161316	9.324391
1400	-17.75608	-15.86174	-1.894344	0.09517462	0.8220742	0.3120286	7.282899	9.165293
1410	-17.35634	-15.83434	-1.522004	0.07768299	0.7834671	0.3116644	8.922767	9.708004
1420	-21.1501	-20.23718	-0.9129236	0.06036137	0.726492	0.2447924	11.48329	9.261696
1430	-17.03261	-16.1608	-0.8718101	0.06412111	0.7410201	0.2169172	10.80997	9.967146
1440	-20.04959	-17.81306	-2.236532	0.1123031	0.8488559	0.3054594	6.17211	9.200875
1450	-18.38296	-16.27818	-2.104776	0.1074495	0.8420992	0.2967989	6.450911	8.767349
1460	-19.05931	-18.12504	-0.9342705	0.06053047	0.7271763	0.2491784	11.45121	9.474917
1470	-17.05098	-16.01684	-1.034142	0.06938442	0.7591656	0.2281857	9.989954	9.803172
1480	-18.62467	-17.54781	-1.076855	0.06863	0.7567078	0.2419866	10.09977	9.277436
1490	-20.15766	-18.12237	-2.035289	0.08906035	0.8101647	0.4090283	7.782893	8.599686
1500	-25.57611	-19.13698	-6.439131	0.2705425	0.9371747	0.7109359	2.562064	8.227699
1510	-17.02961	-15.81257	-1.217033	0.06978675	0.7604579	0.2716497	9.93236	9.465535
1520	-16.80861	-15.48352	-1.325082	0.07368923	0.7723641	0.2785932	9.406357	9.476284
1530	-18.15889	-16.79519	-1.363704	0.08391673	0.7989083	0.233072	8.259941	9.355144
1540	-17.87728	-16.02906	-1.848217	0.08966465	0.811409	0.3349192	7.73044	8.953944
1550	-17.96511	-16.1807	-1.784417	0.08673034	0.8052174	0.334406	7.991981	9.489588
1560	-17.55393	-15.71247	-1.841463	0.09183341	0.8157494	0.3177021	7.547876	9.124333
1570	-17.35584	-15.92138	-1.434462	0.07066834	0.7632459	0.3313698	9.808455	9.917306
1580	-19.5919	-16.71072	-2.881184	0.1271442	0.8663932	0.4247679	5.451664	8.68773
1590	-19.30471	-17.54984	-1.754868	0.08763456	0.8071661	0.3184988	7.909519	9.749726
1600	-16.74286	-15.53166	-1.2112	0.0693139	0.7589378	0.2727933	10.00012	9.581113
1610	-19.5199	-17.63491	-1.884984	0.08901013	0.8100606	0.3523218	7.787284	9.731831
1620	-16.79098	-15.42048	-1.370499	0.07268043	0.7693918	0.2978459	9.536916	9.685493
1630	-19.39872	-17.9953	-1.40342	0.08545862	0.8024128	0.2347085	8.11091	8.917267
1640	-18.43118	-17.07059	-1.360585	0.08421451	0.7995942	0.2308826	8.230733	9.415986
1650	-21.27307	-17.04252	-4.230553	0.1905422	0.9107984	0.4264977	3.637762	8.574641
1660	-16.93637	-15.54297	-1.393403	0.07615526	0.7793406	0.2830842	9.101764	9.663737
1670	-18.02084	-16.33854	-1.682296	0.08624899	0.8041648	0.3050419	8.036583	9.566271
1680	-19.09793	-17.10946	-1.988468	0.1043995	0.8375436	0.2818763	6.639376	8.635363
1690	-19.90837	-17.18685	-2.721516	0.135385	0.8744987	0.3039927	5.119821	8.718622
1700	-18.0851	-15.99611	-2.088996	0.09943157	0.8295516	0.3463378	6.971097	8.878571
