Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
170	0	-13.68945	-15.25202	1.562574	0.05239895
171	1	-13.71842	-16.09811	2.37969	0.02314481
172	0	-13.07133	-14.90292	1.831596	0.04003943
173	1	-13.45515	-15.09802	1.64287	0.04835603
174	0	-13.11137	-15.28554	2.174174	0.02842549
175	1	-13.55498	-15.16198	1.606995	0.05012229
176	0	-13.07052	-14.90271	1.832191	0.04001562
177	1	-13.40468	-15.06689	1.662219	0.04742938
178	0	-15.11086	-16.32418	1.213316	0.07430252
179	1	-13.61195	-15.19965	1.587696	0.05109901
180	0	-12.97424	-14.90775	1.933508	0.03615998
181	1	-12.95764	-14.95318	1.995542	0.03398497
182	0	-13.0916	-14.90882	1.81722	0.04061921
183	1	-13.1296	-15.31379	2.184185	0.02814235
184	0	-12.96805	-15.01063	2.042582	0.03242335
185	1	-13.77146	-16.16347	2.392007	0.02286149
186	0	-13.45897	-15.10041	1.641443	0.04842507
187	1	-15.2653	-16.44738	1.18208	0.07666008
188	0	-13.03562	-14.8959	1.860276	0.03890742
189	1	-12.95773	-14.94803	1.990296	0.03416376
190	0	-13.13528	-14.92466	1.78938	0.04176593
191	1	-14.43632	-15.79755	1.361224	0.0640867
192	0	-14.45763	-15.81383	1.356194	0.06440987
193	1	-12.99752	-15.08506	2.087547	0.03099774
194	0	-12.98196	-15.04945	2.06749	0.03162572
195	1	-14.38398	-15.75768	1.373704	0.06329188
196	0	-13.02508	-14.89498	1.869893	0.03853503
197	1	-14.5552	-15.88871	1.333511	0.06588759
198	0	-13.13367	-14.92401	1.790347	0.04172555
199	1	-13.20855	-15.43062	2.222061	0.02709637
200	0	-13.24638	-15.4843	2.237918	0.02667011
201	1	-14.3845	-15.75808	1.373578	0.06329983
202	0	-13.09888	-15.26583	2.166949	0.02863163
203	1	-13.34807	-15.03318	1.685115	0.04635577
204	0	-13.72755	-16.10939	2.381844	0.02309503
205	1	-12.99398	-15.07738	2.083403	0.03112646
206	0	-13.10172	-14.91215	1.810434	0.0408958
207	1	-12.97991	-14.90359	1.923679	0.03651714
208	0	-14.66056	-15.97018	1.309619	0.06748074
209	1	-13.24893	-14.97811	1.729182	0.04435737
210	0	-13.04502	-14.89723	1.852211	0.03922249
211	1	-13.96067	-15.44316	1.482488	0.05676803
212	0	-13.0481	-14.89775	1.849656	0.03932281
213	1	-12.96921	-14.91294	1.943736	0.03579201
214	0	-12.99379	-14.89767	1.903882	0.03724727
215	1	-13.06719	-14.90187	1.834675	0.03991636
216	0	-13.15739	-14.9339	1.776517	0.04230665
217	1	-13.34289	-15.03017	1.687281	0.04625547
218	0	-13.03127	-15.15139	2.120115	0.03000444
219	1	-14.91994	-16.17305	1.25311	0.07140379
220	0	-14.92461	-17.51512	2.590508	0.01874548
221	1	-13.17754	-14.9429	1.765353	0.04278158
222	0	-13.52717	-15.14388	1.616706	0.04963793
223	1	-13.17754	-14.9429	1.765353	0.04278158
224	0	-13.56452	-15.16823	1.603708	0.0502873
225	1	-14.10164	-16.56168	2.460032	0.02135806
226	0	-12.97207	-15.02302	2.050956	0.03215297
227	1	-13.07023	-14.90264	1.83241	0.04000685
228	0	-13.31641	-15.01498	1.69857	0.04573623
229	1	-13.28005	-15.53116	2.25111	0.02632058
230	0	-13.0197	-15.12974	2.110044	0.03030815
231	1	-14.34912	-15.73124	1.382117	0.06276164
232	0	-14.75562	-16.04417	1.28855	0.06891754
233	1	-13.23692	-15.47098	2.234062	0.02677313
234	0	-15.90982	-16.96897	1.059153	0.08668733
235	1	-12.98229	-14.90222	1.919931	0.03665427
236	0	-13.81973	-15.3425	1.522777	0.05452634
237	1	-13.4212	-15.07698	1.655783	0.0477356
238	0	-13.01463	-15.11997	2.105336	0.0304512
239	1	-13.12402	-14.92024	1.796219	0.04148127
240	0	-12.95772	-14.94837	1.990651	0.03415161
241	1	-12.98519	-15.05728	2.072098	0.03148033
242	0	-15.9642	-17.01344	1.049242	0.0875508
243	1	-13.04588	-15.17759	2.131706	0.02965868
244	0	-15.12656	-16.33666	1.210104	0.0745416
245	1	-15.63509	-16.74533	1.110242	0.08236979
246	0	-13.02941	-14.89527	1.865864	0.0386906
247	1	-13.07819	-14.90479	1.826605	0.04023976
248	0	-13.20807	-14.95738	1.749309	0.04347351
249	1	-14.05936	-15.51503	1.45567	0.05831104
250	0	-13.01131	-14.89494	1.883634	0.03800914
251	1	-13.12646	-15.30896	2.182501	0.0281898
252	0	-13.08587	-14.90705	1.821172	0.040459
253	1	-12.9961	-14.89707	1.900977	0.03735563
254	0	-12.9697	-14.91235	1.942654	0.03583076
255	1	-13.2845	-14.99719	1.712686	0.04509517
256	0	-13.34748	-15.03284	1.685362	0.04634434
257	1	-13.06248	-14.90073	1.838247	0.03977401
258	0	-13.30213	-15.00694	1.704817	0.04545141
259	1	-13.88399	-15.38808	1.504091	0.05555481
260	0	-12.95929	-14.93494	1.975646	0.03466794
261	1	-13.12782	-15.31105	2.183231	0.02816923
262	0	-13.0156	-14.89479	1.879187	0.03817856
263	1	-12.95945	-14.97428	2.014834	0.03333565
264	0	-13.07205	-15.22223	2.150188	0.02911557
265	1	-15.77682	-16.86049	1.083666	0.08458824
266	0	-12.98051	-15.04582	2.065315	0.03169458
267	1	-13.49019	-15.12014	1.629948	0.04898493
268	0	-13.46472	-15.10402	1.639302	0.04852886
269	1	-12.99504	-14.89734	1.902298	0.03730631
270	0	-12.98407	-14.90131	1.917239	0.03675307
271	1	-12.99656	-14.89696	1.900403	0.03737707
272	0	-13.48504	-15.80379	2.318744	0.02459927
273	1	-13.37175	-15.04712	1.675365	0.04680995
274	0	-13.11782	-15.29561	2.177786	0.02832302
275	1	-14.74739	-16.03774	1.290357	0.06879313
276	0	-12.95795	-14.94452	1.986568	0.03429133
277	1	-13.27394	-14.99144	1.717495	0.0448788
278	0	-13.15048	-14.93094	1.780458	0.04214022
279	1	-13.00217	-15.09489	2.092719	0.03083783
280	0	-13.41553	-15.07351	1.65798	0.04763084
281	1	-13.48659	-15.11785	1.631256	0.04892093
282	0	-13.08023	-14.90538	1.825146	0.04029852
283	1	-13.06127	-15.20416	2.14288	0.02932911
284	0	-13.04785	-15.18105	2.133192	0.02961464
285	1	-13.50147	-15.82495	2.323476	0.02448314
286	0	-13.0087	-14.89512	1.886426	0.03790319
287	1	-13.71087	-15.26671	1.555834	0.05275334
288	0	-13.03519	-14.89585	1.860656	0.03889265
289	1	-13.82706	-16.2315	2.404441	0.02257899
290	0	-12.96946	-15.01515	2.045688	0.0323228
291	1	-12.96434	-14.92037	1.95603	0.03535468
292	0	-13.07876	-15.23332	2.15456	0.02898856
293	1	-13.05871	-14.89987	1.841161	0.0396583
294	0	-14.88522	-16.14572	1.260501	0.07087796
295	1	-13.13625	-14.92505	1.788802	0.04179009
296	0	-14.25957	-15.66369	1.404123	0.06139557
297	1	-14.85629	-17.43738	2.581086	0.01892294
298	0	-13.04095	-14.8966	1.855647	0.03908794
299	1	-13.28599	-15.53935	2.253359	0.02626144
300	0	-12.96067	-14.98139	2.020713	0.03314021
301	1	-13.17157	-14.94018	1.768612	0.0426424
302	0	-13.12452	-15.30598	2.181456	0.02821928
303	1	-13.94882	-15.4346	1.485779	0.05658149
304	0	-13.3993	-15.69191	2.292611	0.02525059
305	1	-12.95764	-14.95149	1.993845	0.03404272
306	0	-16.4714	-17.43097	0.9595711	0.09576429
307	1	-14.4034	-15.77246	1.369052	0.06358701
308	0	-13.03472	-14.89579	1.86107	0.03887653
309	1	-12.9578	-14.9587	2.000891	0.03380368
310	0	-13.34584	-15.03188	1.686047	0.04631261
311	1	-13.80905	-15.33499	1.525938	0.05435427
312	0	-14.78247	-17.35314	2.570674	0.01912099
313	1	-13.35169	-15.62857	2.276881	0.02565093
314	0	-12.99801	-15.08612	2.088109	0.03098033
315	1	-12.9601	-14.97823	2.018137	0.0332257
316	0	-14.00901	-15.47823	1.469221	0.05752615
317	1	-13.1258	-14.92092	1.795124	0.04152671
318	0	-13.78405	-15.31745	1.533407	0.05394982
319	1	-12.95764	-14.95345	1.995807	0.033976
320	0	-13.00918	-15.10919	2.100011	0.03061378
321	1	-13.04166	-14.8967	1.855038	0.03911174
322	0	-13.00821	-15.10725	2.099039	0.03064353
323	1	-13.21042	-14.95854	1.748112	0.04352558
324	0	-13.32295	-15.0187	1.69575	0.0458654
325	1	-13.8793	-15.38473	1.505435	0.05548018
